"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 2016"")","","","","","","","","","","","","","",""
"1","A Moon Shaped Pool","Radiohead","uk","2016","No","No","1","7","77","18041","86.883628845","2051","97640","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=97640&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Blonde","Frank Ocean","us","2016","No","No","2","8","91","15097","84.144248962","1037","101825","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=101825&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","★ (Blackstar)","David Bowie","uk","2016","No","No","3","9","116","13124","85.637863159","1572","91441","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=91441&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Teens Of Denial","Car Seat Headrest","us","2016","No","No","4","26","216","8211","82.960235596","808","97304","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=97304&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Atrocity Exhibition","Danny Brown","us","2016","No","No","5","38","296","6279","83.093078613","673","102738","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=102738&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Skeleton Tree","Nick Cave & The Bad Seeds","au","2016","No","No","6","50","381","4856","82.678482056","665","102578","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=102578&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","22, A Million","Bon Iver","us","2016","No","No","7","51","385","4831","78.111190796","685","101253","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=101253&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","The Life Of Pablo","Kanye West","us","2016","No","No","8","58","420","4416","75.934814453","983","94187","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=94187&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Lemonade","Beyoncé","us","2016","No","No","9","68","504","3663","77.203681946","606","97211","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=97211&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
