"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"793","Más De Cien Lobos","091","es","1986","No","No","793","7951","68304","5","72.376251221","1","118662","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=118662&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"794","Live!","Chuck Brown And The Soul Searchers","us","1986","No","Yes","794","7972","68495","5","-1","0","222650","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=222650&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"795","Hanoí-Hanoí","Hanoí-Hanoí","br","1986","No","No","795","7979","68548","5","73.739891052","1","114492","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=114492&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"795","Cidades Em Torrente","Biquini Cavadão","br","1986","No","No","795","7979","68548","5","73.739891052","1","137078","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=137078&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"795","Canteloube: Chants D'Auvergne","Victoria De Los Angeles / Orchestre Des Concerts Lamoureux","un","1986","Yes","No","795","7979","68548","5","75.511566162","2","136455","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=136455&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"798","Gypsy Songman","Jerry Jeff Walker","us","1986","No","No","798","8010","68916","5","74.648979187","1","161957","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=161957&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"799","Vicious Pink","Vicious Pink","uk","1986","No","No","799","8019","68998","5","73.652770996","4","106668","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=106668&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"800","Dip In The Pool","Dip In The Pool","jp","1986","No","No","800","8023","69043","5","73.285339355","1","146327","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=146327&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"801","Touch Me","Samantha Fox","uk","1986","No","No","801","8038","69255","5","66.243476868","7","64965","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=64965&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"802","Warriors Of The Rainbow","Carolyn Hester","us","1986","No","No","802","8050","69375","5","72.376251221","1","139242","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=139242&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"803","Nine Inches Of God","Deep Switch","uk","1986","No","No","803","8053","69390","5","74.648979187","1","144043","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=144043&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"803","Black Pyramid","Always August","us","1986","No","No","803","8053","69390","5","74.702987671","3","73299","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=73299&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
