"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1952"")","","","","","","","","","","","","","",""
"1","Bird & Diz","Charlie Parker & Dizzy Gillespie","us","1952","No","No","1","46","1957","867","77.510910034","114","2672","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2672&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Moanin' The Blues","Hank Williams","us","1952","No","No","2","63","2449","653","75.325088501","72","16779","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=16779&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Anthology Of American Folk Music","Various Artists","un","1952","Yes","No","3","77","2682","579","77.873039246","76","2413","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2413&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Ellington Uptown","Duke Ellington And His Orchestra","us","1952","No","No","4","89","3071","495","76.833351135","79","2668","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2668&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Billie Holiday Sings","Billie Holiday","us","1952","No","No","5","98","3454","432","75.5990448","60","23825","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=23825&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","The Amazing Bud Powell","Bud Powell","us","1952","No","No","6","111","3898","371","76.099090576","65","19828","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19828&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Genius Of Modern Music, Vol. 2","Thelonious Monk","us","1952","Yes","No","7","120","4176","344","76.990608215","62","19827","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19827&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","La Vie En Rose","Édith Piaf","fr","1952","No","No","8","127","4450","316","70.984184265","32","79765","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=79765&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Unforgettable","Nat King Cole","us","1952","Yes","No","9","140","4982","274","73.450653076","44","36245","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=36245&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
