"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1977"")","","","","","","","","","","","","","",""
"1","Rumours","Fleetwood Mac","un","1977","No","No","1","6","24","35622","86.273925781","2481","101","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=101&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Animals","Pink Floyd","uk","1977","No","No","2","8","34","27718","87.776130676","2667","1310","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1310&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Marquee Moon","Television","us","1977","No","No","3","14","47","23444","86.342803955","1811","287","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=287&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Low","David Bowie","uk","1977","No","No","4","16","53","20966","85.957496643","1996","76","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=76&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Never Mind The Bollocks, Here's The Sex Pistols","Sex Pistols","uk","1977","No","No","5","33","123","12702","80.159309387","1796","247","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=247&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Aja","Steely Dan","us","1977","No","No","6","44","178","9518","83.060066223","941","1126","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1126&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","The Stranger","Billy Joel","us","1977","No","No","7","56","233","7645","82.078109741","831","38","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=38&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","&quot;Heroes&quot;","David Bowie","uk","1977","No","No","8","61","250","7262","82.646438599","1416","75","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=75&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","The Clash","The Clash","uk","1977","No","No","9","65","270","6823","81.7970047","1245","66","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=66&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Exodus","Bob Marley & The Wailers","jm","1977","No","No","10","68","278","6682","82.318771362","835","49","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Trans Europa Express","Kraftwerk","de","1977","No","No","11","76","294","6303","82.605728149","871","139","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=139&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Pink Flag","Wire","uk","1977","No","No","12","83","322","5747","82.083183289","763","1079","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1079&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","My Aim Is True","Elvis Costello","uk","1977","No","No","13","109","468","3977","80.896560669","702","95","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Out Of The Blue","Electric Light Orchestra","uk","1977","No","No","14","113","484","3783","78.462142944","578","1915","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1915&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Lust For Life","Iggy Pop","us","1977","No","No","15","115","492","3725","81.327575684","671","113","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=113&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Talking Heads: 77","Talking Heads","us","1977","No","No","16","116","510","3647","81.894996643","814","1277","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1277&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Rocket To Russia","Ramones","us","1977","No","No","17","133","563","3281","81.151832581","591","1646","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1646&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Bat Out Of Hell","Meat Loaf","us","1977","No","No","18","136","568","3242","71.559394836","642","163","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=163&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Suicide","Suicide","us","1977","No","No","19","138","581","3159","78.325111389","466","2524","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2524&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","The Idiot","Iggy Pop","us","1977","No","No","20","155","644","2860","80.208122253","508","2067","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2067&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Before And After Science","Brian Eno","uk","1977","No","No","21","181","812","2253","80.558258057","423","1355","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1355&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","A Farewell To Kings","Rush (CA)","ca","1977","No","No","22","186","868","2104","80.365478516","485","2646","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2646&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Heart Of The Congos","The Congos","jm","1977","No","No","23","202","928","1968","79.13495636","248","69","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=69&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","News Of The World","Queen","uk","1977","No","No","24","204","948","1934","76.633148193","616","1178","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1178&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","Zombie","Fela Kuti & Africa 70","ng","1977","No","No","25","225","1033","1768","80.743766785","253","5065","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5065&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
