"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1948"")","","","","","","","","","","","","","",""
"1","Chansons Des Cafés De Paris","Édith Piaf","fr","1948","No","No","1","8","5847","225","72.316947937","52","14211","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=14211&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Liberian Suite","Duke Ellington And His Orchestra","us","1948","No","No","2","13","7277","174","69.606071472","12","136642","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=136642&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Stravinsky: Petrouchka; Scenes De Ballet","Igor Stravinsky / The Philharmonic Symphony Orchestra Of New York","us","1948","No","No","3","26","9600","123","72.296325684","8","166395","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=166395&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","A Presentation Of Progressive Jazz","Stan Kenton And His Orchestra","us","1948","No","No","4","30","10454","112","73.520874023","6","125306","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=125306&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Charlie Parker No. 1","Charlie Parker","us","1948","No","No","5","34","11289","102","72.574104309","8","140381","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140381&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Rendezvous With Peggy Lee","Peggy Lee","us","1948","No","No","6","49","12617","90","71.816696167","10","105091","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=105091&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Volume 3","The King Cole Trio","us","1948","No","No","7","79","17045","63","67.851882935","8","123512","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123512&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Volume 2","Louis Jordan And His Tympany Five","us","1948","No","No","8","86","18584","56","73.407440186","8","123581","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123581&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Mendelssohn: Concerto In E Minor For Violin And Orchestra Op. 64","Bruno Walter / Philharmonic-Symphony Orchestra Of New York / Nathan Milstein","us","1948","No","No","9","88","19139","54","71.1667099","4","172144","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=172144&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Stravinsky: The Fire Bird (L'Oiseau De Feu) (New Augmented Version)","Igor Stravinsky / The Philharmonic Symphony Orchestra Of New York","us","1948","No","No","10","109","23655","40","70.452423096","4","182890","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=182890&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Cocktail Capers","The Art Van Damme Quintet","no","1948","No","No","11","119","25355","35","71.422264099","5","95553","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95553&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Sings Blue Ridge Ballads","Texas Gladden","us","1948","No","No","12","120","25913","34","69.71799469","3","182389","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=182389&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","The Velvet Fog","Mel Tormé","us","1948","No","No","13","127","28246","29","71.088928223","5","131449","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=131449&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Ives: Sonata, No. 2 (Concord, Mass., 1840-1860)","John Kirkpatrick (Pianist)","us","1948","No","No","14","129","28661","29","70.102615356","3","183437","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=183437&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Sequence In Jazz","Woody Herman And His Orchestra","us","1948","No","No","15","130","28745","29","70.809562683","4","124292","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=124292&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","A Monday Date At Blue Note","Art Hodes' Hot Seven","us","1948","No","No","16","131","28761","28","71.523849487","4","149156","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=149156&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Sings With Mills Brothers, Louis Jordan And His Tympany Five, Louis Armstrong, Delta Rhythm Boys","Ella Fitzgerald","us","1948","No","No","17","134","29110","28","72.088928223","5","123872","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123872&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Shostakovich: Symphony No. 9, Op. 70","Efrem Kurtz / Philharmonic-Symphony Orchestra Of New York","us","1948","No","No","18","140","30544","26","71.523849487","4","182888","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=182888&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Benny Goodman & Peggy Lee","Benny Goodman & Peggy Lee","us","1948","No","No","19","144","31240","25","71.880996704","4","139153","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=139153&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","New Movements In Be-Bop","Lionel Hampton","us","1948","No","No","20","149","31792","24","71.1667099","4","161061","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=161061&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Marian Anderson Sings Spirituals","Marian Anderson","us","1948","No","No","21","164","34196","21","72.595283508","4","141111","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=141111&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Música Con Pan","Conjunto Tropicavana","cu","1948","No","No","22","173","35713","20","70.487220764","3","161063","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=161063&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Sea Shanties","Leonard Warren","us","1948","No","No","23","176","35849","20","70.487220764","3","169921","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=169921&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","Nellie Lutcher","Nellie Lutcher","us","1948","No","No","24","178","36190","20","71.256462097","3","131119","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=131119&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","Voices Of The Night: The Calls Of 26 Frogs And Toads Found In Eastern North America","Peter Paul Kellogg & Arthur A. Allen","us","1948","No","No","25","194","38744","18","69.71799469","3","160479","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=160479&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"26","Anokhi Ada","Naushad","in","1948","No","No","26","196","38901","18","70.111160278","2","161065","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=161065&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"27","Vol. 1","The Stan Getz Quartet","us","1948","No","No","27","203","40204","17","70.088928223","5","140445","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140445&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"28","Cantorial Jewels","Richard Tucker","us","1948","No","No","28","208","41000","16","70.452423096","4","138062","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=138062&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
