"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1980"")","","","","","","","","","","","","","",""
"1","Remain In Light","Talking Heads","us","1980","No","No","1","3","29","32145","87.166740417","2179","285","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=285&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Closer","Joy Division","uk","1980","No","No","2","9","78","17836","85.4008255","1838","135","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=135&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Back In Black","AC/DC","au","1980","No","No","3","17","135","11837","79.779052734","1800","2","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Scary Monsters... And Super Creeps","David Bowie","uk","1980","No","No","4","40","310","6077","80.926330566","1047","1991","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1991&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Fresh Fruit For Rotting Vegetables","Dead Kennedys","us","1980","No","No","5","47","359","5200","80.506523132","719","79","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=79&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Peter Gabriel III","Peter Gabriel","uk","1980","No","No","6","55","420","4415","81.439529419","558","2368","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2368&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","The River","Bruce Springsteen","us","1980","No","No","7","60","434","4269","78.743736267","827","1201","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1201&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Permanent Waves","Rush (CA)","ca","1980","No","No","8","87","575","3197","80.635551453","584","3287","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3287&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Pretenders","Pretenders","un","1980","No","No","9","89","593","3106","78.513847351","551","211","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=211&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Making Movies","Dire Straits","uk","1980","No","No","10","91","606","3044","77.892936707","553","1725","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1725&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Seventeen Seconds","The Cure","uk","1980","No","No","11","95","627","2918","78.599884033","643","3964","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3964&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Crazy Rhythms","The Feelies","us","1980","No","No","12","104","684","2681","78.859855652","419","2294","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2294&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Sandinista!","The Clash","uk","1980","No","No","13","107","706","2628","76.26789093","628","1789","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1789&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Heaven And Hell","Black Sabbath","uk","1980","No","No","14","113","749","2442","77.487815857","519","2791","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2791&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Boy","U2","ie","1980","No","No","15","116","778","2368","74.807929993","726","1123","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1123&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Ace Of Spades","Motörhead","uk","1980","No","No","16","117","781","2353","78.117919922","457","1873","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1873&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Gaucho","Steely Dan","us","1980","No","No","17","136","881","2076","77.833213806","338","268","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=268&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Duke","Genesis","uk","1980","No","No","18","137","900","2048","74.433517456","400","2809","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2809&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Get Happy!!","Elvis Costello And The Attractions","uk","1980","No","No","19","138","916","1998","77.13243103","367","2040","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2040&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Iron Maiden","Iron Maiden","uk","1980","No","No","20","140","931","1963","77.805923462","493","3315","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3315&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Sound Affects","The Jam","uk","1980","No","No","21","145","964","1903","78.715080261","359","1710","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1710&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","British Steel","Judas Priest","uk","1980","No","No","22","149","984","1873","77.538459778","352","6470","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6470&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
