"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1990"")","","","","","","","","","","","","","",""
"1","Violator","Depeche Mode","uk","1990","No","No","1","22","117","13093","83.441543579","1300","1188","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1188&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Heaven Or Las Vegas","Cocteau Twins","uk","1990","No","No","2","35","166","9877","83.794807434","784","1081","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1081&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Nowhere","Ride","uk","1990","No","No","3","69","372","5002","80.9895401","654","4953","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4953&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Rust In Peace","Megadeth","us","1990","No","No","4","73","400","4672","81.111938477","721","1366","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1366&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Bossanova","Pixies","us","1990","No","No","5","78","438","4254","79.256576538","898","4752","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4752&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Goo","Sonic Youth","us","1990","No","No","6","87","473","3904","79.777664185","738","2382","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2382&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Ritual De Lo Habitual","Jane's Addiction","us","1990","No","No","7","97","544","3402","76.939567566","509","1086","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1086&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Repeater","Fugazi","us","1990","No","No","8","99","576","3174","80.438247681","461","3132","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3132&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Fear Of A Black Planet","Public Enemy","us","1990","No","No","9","114","664","2760","77.972221375","466","337","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=337&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","The La's","The La's","uk","1990","No","No","10","116","678","2719","77.463928223","451","140","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Canción Animal","Soda Stereo","ar","1990","No","No","11","142","784","2349","80.645942688","229","7020","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7020&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","The Good Son","Nick Cave & The Bad Seeds","au","1990","No","No","12","166","861","2122","78.987190247","375","2979","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2979&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Pills 'N' Thrills And Bellyaches","Happy Mondays","uk","1990","No","No","13","198","1018","1808","76.817588806","368","111","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=111&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
