"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1985"")","","","","","","","","","","","","","",""
"1","Hounds Of Love","Kate Bush","uk","1985","No","No","1","7","62","19939","84.891372681","1298","137","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=137&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Rain Dogs","Tom Waits","us","1985","No","No","2","14","110","13580","84.269599915","1283","1365","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1365&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Brothers In Arms","Dire Straits","uk","1985","No","No","3","27","224","7948","78.085655212","1109","84","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=84&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Meat Is Murder","The Smiths","uk","1985","No","No","4","32","256","7149","81.735054016","1230","257","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=257&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Psychocandy","The Jesus And Mary Chain","uk","1985","No","No","5","37","292","6377","79.558082581","886","124","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=124&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Songs From The Big Chair","Tears For Fears","uk","1985","No","No","6","46","357","5239","79.250205994","632","2812","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2812&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","The Head On The Door","The Cure","uk","1985","No","No","7","51","378","4911","81.632301331","744","2050","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2050&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Tim","The Replacements","us","1985","No","No","8","65","463","4024","80.608505249","535","1227","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1227&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Steve McQueen","Prefab Sprout","uk","1985","No","No","9","84","548","3369","78.688217163","340","210","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=210&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Misplaced Childhood","Marillion","uk","1985","No","No","10","88","591","3110","77.2420578","390","2797","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2797&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Low-Life","New Order","uk","1985","No","No","11","90","600","3064","80.10144043","456","181","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=181&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Rum Sodomy & The Lash","The Pogues","uk","1985","No","No","12","102","671","2742","78.501647949","381","1233","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1233&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","New Day Rising","Hüsker Dü","us","1985","No","No","13","139","929","1967","77.8543396","351","2915","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2915&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","This Is The Sea","The Waterboys","uk","1985","No","No","14","141","934","1958","78.875465393","282","1941","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1941&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","This Nation's Saving Grace","The Fall","uk","1985","No","No","15","146","970","1892","78.489730835","421","1461","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1461&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Fables Of The Reconstruction","R.E.M.","us","1985","No","No","16","172","1096","1647","76.324485779","430","2378","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2378&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Little Creatures","Talking Heads","us","1985","No","No","17","194","1223","1487","75.677841187","394","6871","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6871&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Around The World In A Day","Prince And The Revolution","us","1985","No","No","18","209","1295","1368","77.276046753","337","2617","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2617&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Love","The Cult","uk","1985","No","No","19","239","1561","1120","75.959915161","239","1128","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1128&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Live At The Harlem Square Club, 1963","Sam Cooke","us","1985","No","Yes","20","256","1621","1070","81.853027344","168","5124","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5124&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","The Dream Of The Blue Turtles","Sting","uk","1985","No","No","21","267","1717","1005","73.85887146","237","7349","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7349&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Hunting High And Low","a-ha","no","1985","No","No","22","268","1727","995","73.717895508","272","4537","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4537&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
