"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1981"")","","","","","","","","","","","","","",""
"1","Moving Pictures","Rush (CA)","ca","1981","No","No","1","20","153","10723","82.531608582","1235","1787","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1787&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Computerwelt [Computer World]","Kraftwerk","de","1981","No","No","2","70","491","3739","80.661697388","512","3010","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3010&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Discipline","King Crimson","uk","1981","No","No","3","83","547","3370","80.098129272","570","1506","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1506&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Juju","Siouxsie And The Banshees","uk","1981","No","No","4","92","607","3042","79.978134155","403","984","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=984&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","My Life In The Bush Of Ghosts","Brian Eno & David Byrne","un","1981","No","No","5","99","643","2862","77.282997131","416","2147","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2147&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Time","Electric Light Orchestra","uk","1981","No","No","6","101","662","2763","75.756576538","359","4211","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4211&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Faith","The Cure","uk","1981","No","No","7","118","792","2311","77.552337646","548","2768","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2768&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Dare","The Human League","uk","1981","No","No","8","122","824","2230","75.363136292","431","112","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=112&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Damaged","Black Flag","us","1981","No","No","9","131","863","2118","75.996124268","479","2823","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2823&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Deceit","This Heat","uk","1981","No","No","10","143","940","1951","79.021492004","234","3247","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3247&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Fire Of Love","The Gun Club","us","1981","No","No","11","147","971","1891","77.108207703","291","2000","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2000&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Youth Of America","Wipers","us","1981","No","No","12","153","1005","1836","81.395233154","217","6974","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6974&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Tattoo You","The Rolling Stones","uk","1981","No","No","13","166","1072","1707","74.947814941","552","14179","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=14179&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","The Ascension","Glenn Branca","us","1981","No","No","14","168","1074","1699","79.230651855","195","1029","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1029&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Ghost In The Machine","The Police","uk","1981","No","No","15","169","1077","1699","75.347396851","501","1391","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1391&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Heaven Up Here","Echo & The Bunnymen","uk","1981","No","No","16","186","1180","1535","76.888618469","309","90","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=90&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Killers","Iron Maiden","uk","1981","No","No","17","201","1260","1422","77.053291321","435","2622","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2622&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Face Value","Phil Collins","uk","1981","No","No","18","211","1302","1362","72.629264832","296","2556","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2556&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Movement","New Order","uk","1981","No","No","19","230","1470","1195","75.738204956","280","4538","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4538&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","From The Lion's Mouth","The Sound","uk","1981","No","No","20","248","1588","1091","79.045761108","148","1364","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1364&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Architecture & Morality","Orchestral Manoeuvres In The Dark","uk","1981","No","No","21","255","1615","1076","76.821411133","205","7409","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7409&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Nightclubbing","Grace Jones","jm","1981","No","No","22","260","1641","1057","78.911102295","193","8244","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=8244&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Escape","Journey","us","1981","No","No","23","273","1751","983","70.264587402","242","2209","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2209&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","Diary Of A Madman","Ozzy Osbourne","uk","1981","No","No","24","274","1759","977","76.996688843","256","2937","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2937&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","Non-Stop Erotic Cabaret","Soft Cell","uk","1981","No","No","25","290","1853","919","73.897628784","188","7408","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7408&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"26","Business As Usual","Men At Work","au","1981","No","No","26","302","1927","879","74.420974731","181","10699","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=10699&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"27","Talk Talk Talk","The Psychedelic Furs","uk","1981","No","No","27","308","1957","867","77.506233215","176","2810","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2810&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"28","Tin Drum","Japan","uk","1981","No","No","28","310","1960","866","77.842292786","156","10341","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=10341&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"29","The Visitors","ABBA","se","1981","No","No","29","314","1995","844","72.714958191","196","6108","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6108&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"30","October","U2","ie","1981","No","No","30","317","2042","820","71.771812439","404","5974","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5974&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"31","Dolmen Music","Meredith Monk","us","1981","No","No","31","324","2109","784","75.013366699","76","1070","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1070&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"32","Abacab","Genesis","uk","1981","No","No","32","327","2119","782","70.201820374","299","8101","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=8101&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"33","Beauty And The Beat","Go-Go's","us","1981","No","No","33","332","2154","765","74.719230652","165","7398","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7398&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"34","...And Don't The Kids Just Love It","Television Personalities","uk","1981","No","No","34","338","2176","758","76.840965271","141","9667","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=9667&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"35","4","Foreigner","un","1981","No","No","35","339","2181","756","71.991317749","208","3938","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3938&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"36","Greatest Hits","Queen","uk","1981","Yes","No","36","343","2201","744","82.645370483","374","5116","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5116&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"37","Fair Warning","Van Halen","us","1981","No","No","37","346","2221","735","75.446685791","253","5627","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5627&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"38","Fire Of Unknown Origin","Blue Öyster Cult","us","1981","No","No","38","354","2278","717","77.11125946","138","2210","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2210&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"39","Pirates","Rickie Lee Jones","us","1981","No","No","39","359","2305","707","76.611427307","92","18798","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=18798&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"40","Bella Donna","Stevie Nicks","us","1981","No","No","40","360","2313","703","76.171684265","188","3563","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3563&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"41","Mob Rules","Black Sabbath","uk","1981","No","No","41","362","2323","697","75.695144653","232","4826","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4826&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"42","Signals, Calls, And Marches","Mission Of Burma","us","1981","No","No","42","374","2432","659","77.350654602","135","15355","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=15355&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"43","For Those About To Rock We Salute You","AC/DC","au","1981","No","No","43","375","2438","658","70.519340515","286","9493","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=9493&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"44","Duran Duran","Duran Duran","uk","1981","No","No","44","385","2485","641","73.749443054","182","2554","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2554&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"45","The Flowers Of Romance","Public Image Ltd.","uk","1981","No","No","45","389","2502","634","74.099525452","123","6971","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6971&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"46","Trust","Elvis Costello And The Attractions","uk","1981","No","No","46","394","2529","624","77.80380249","186","13605","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=13605&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"47","High 'N' Dry","Def Leppard","uk","1981","No","No","47","395","2531","624","72.823623657","150","11389","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=11389&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"48","La Voce Del Padrone","Franco Battiato","it","1981","No","No","48","405","2586","605","76.622322083","78","10595","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=10595&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"49","LC","The Durutti Column","uk","1981","No","No","49","431","2781","556","75.011779785","89","13000","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=13000&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"50","East Side Story","Squeeze","uk","1981","No","No","50","435","2798","554","75.076339722","138","4134","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4134&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"51","Desire","Tuxedomoon","us","1981","No","No","51","438","2822","549","76.075950623","85","8289","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=8289&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"52","Scientist Rids The World Of The Evil Curse Of The Vampires","Scientist","jm","1981","No","No","52","448","2904","531","76.764137268","53","2500","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2500&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"53","Controversy","Prince","us","1981","No","No","53","454","2963","516","75.026092529","227","3776","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3776&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"54","Pretenders II","Pretenders","un","1981","No","No","54","472","3079","495","75.045776367","124","19207","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19207&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"55","Playing With A Different Sex","Au Pairs","uk","1981","No","No","55","473","3085","494","78.550476074","74","10099","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=10099&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"56","No Sleep 'Til Hammersmith","Motörhead","uk","1981","No","Yes","56","491","3215","472","79.791015625","155","1352","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1352&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"57","Speak & Spell","Depeche Mode","uk","1981","No","No","57","497","3264","464","70.498222351","196","5680","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5680&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"58","Wild Gift","X (US)","us","1981","No","No","58","499","3272","463","74.972793579","133","6345","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6345&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"59","Solid Gold","Gang Of Four","uk","1981","No","No","59","502","3291","459","77.182197571","131","6608","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6608&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"60","Hard Promises","Tom Petty And The Heartbreakers","us","1981","No","No","60","513","3343","450","75.163330078","154","17356","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=17356&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"61","Mask","Bauhaus","uk","1981","No","No","61","521","3402","442","76.816726685","146","7419","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7419&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"62","Too Fast For Love","Mötley Crüe","us","1981","No","No","62","530","3452","433","68.394805908","118","7811","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7811&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"63","Slates","The Fall","uk","1981","No","No","63","541","3533","420","77.027801514","68","25503","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=25503&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"64","Still","Joy Division","uk","1981","No","No","64","550","3607","407","77.334197998","153","14489","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=14489&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"65","Pleasant Dreams","Ramones","us","1981","No","No","65","558","3673","396","71.720497131","105","6084","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6084&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"66","You Must Believe In Spring","Bill Evans","us","1981","No","No","66","573","3752","387","77.959503174","37","26753","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=26753&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"67","Rage In Eden","Ultravox","uk","1981","No","No","67","580","3806","381","72.081848145","66","7699","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7699&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"68","Odyshape","The Raincoats","uk","1981","No","No","68","582","3813","380","73.791946411","48","25204","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=25204&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
