"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1960"")","","","","","","","","","","","","","",""
"1","Giant Steps","John Coltrane","us","1960","No","No","1","59","455","4067","83.031784058","596","1579","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1579&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Sketches Of Spain","Miles Davis","us","1960","No","No","2","60","473","3892","81.528366089","654","2348","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2348&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","At Last!","Etta James","us","1960","No","No","3","92","872","2092","78.456001282","288","3441","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3441&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Blues & Roots","Charles Mingus","us","1960","No","No","4","150","1450","1209","79.762397766","222","1814","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1814&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Elvis Is Back!","Elvis Presley","us","1960","No","No","5","190","1972","857","73.966590881","172","7294","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7294&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Joan Baez","Joan Baez","us","1960","No","No","6","206","2207","742","75.902061462","168","6870","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6870&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Soul Station","Hank Mobley","us","1960","No","No","7","253","2812","550","78.467132568","112","19892","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19892&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","The Incredible Jazz Guitar Of Wes Montgomery","Wes Montgomery","us","1960","No","No","8","267","2983","512","77.993667603","142","13257","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=13257&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","At Newport 1960","Muddy Waters","us","1960","No","Yes","9","274","3083","493","77.329414368","149","7297","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7297&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Portrait In Jazz","Bill Evans Trio","us","1960","No","No","10","319","3634","402","77.051574707","89","21787","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=21787&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","A Date With The Everly Brothers","The Everly Brothers","us","1960","No","No","11","331","3883","372","71.537574768","99","7296","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7296&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Miriam Makeba","Miriam Makeba","za","1960","No","No","12","427","5407","248","70.689926147","65","7295","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7295&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
