"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1953"")","","","","","","","","","","","","","",""
"1","Black Coffee With Peggy Lee","Peggy Lee","us","1953","No","No","1","44","1884","902","74.272491455","107","4009","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4009&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Chante Les Chansons Poétiques no1","Georges Brassens","fr","1953","No","No","2","107","3730","390","72.272125244","40","37586","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=37586&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Sonny Rollins With The Modern Jazz Quartet","Sonny Rollins","us","1953","No","No","3","126","4366","325","75.794868469","43","26640","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=26640&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Dean Martin Sings","Dean Martin","us","1953","No","No","4","167","5717","231","70.982017517","27","48425","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=48425&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Songs By Tom Lehrer","Tom Lehrer","us","1953","No","No","5","206","7085","180","70.333351135","25","48427","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=48427&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","An Evening With Billie Holiday","Billie Holiday","us","1953","No","No","6","207","7101","179","71.47618866","18","95794","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95794&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Inca Taqui","Yma Sumac","pe","1953","No","No","7","220","7705","162","69.888938904","23","61625","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=61625&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Calamity Jane","Doris Day","us","1953","No","No","8","229","8064","152","67.459762573","19","48423","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=48423&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Jazz At Oberlin","The Dave Brubeck Quartet","us","1953","No","Yes","9","230","8093","152","72.246932983","45","17236","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=17236&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Puccini: Tosca","Maria Callas / Victor De Sabata","un","1953","No","No","10","238","8440","144","72.816696167","10","102197","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=102197&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Moondog And His Friends","Moondog","us","1953","No","No","11","275","9674","122","72.539230347","24","48837","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=48837&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Memorial Album","Hank Williams","us","1953","Yes","No","12","277","9755","121","71.160499573","17","128039","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=128039&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Nat King Cole Sings For Two In Love","Nat King Cole","us","1953","No","No","13","290","10143","116","72.854690552","29","19001","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19001&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
