"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1989"")","","","","","","","","","","","","","",""
"1","Doolittle","Pixies","us","1989","No","No","1","2","18","40587","88.250556946","2830","206","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=206&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Disintegration","The Cure","uk","1989","No","No","2","4","32","28720","86.255867004","1920","1098","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1098&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","The Stone Roses","The Stone Roses","uk","1989","No","No","3","5","36","27434","85.829971313","2196","273","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=273&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Paul's Boutique","Beastie Boys","us","1989","No","No","4","28","230","7677","81.735862732","992","22","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=22&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","On Fire","Galaxie 500","us","1989","No","No","5","52","387","4790","81.804107666","569","2542","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2542&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Bleach","Nirvana (US)","us","1989","No","No","6","69","490","3749","76.058456421","1245","968","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=968&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","3 Feet High And Rising","De La Soul","us","1989","No","No","7","73","503","3692","78.635154724","549","78","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=78&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Pretty Hate Machine","Nine Inch Nails","un","1989","No","No","8","77","520","3589","79.19745636","657","1569","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1569&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Full Moon Fever","Tom Petty","us","1989","No","No","9","82","543","3408","78.61013031","545","4001","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4001&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","New York","Lou Reed","us","1989","No","No","10","114","754","2428","77.508728027","413","961","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=961&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
