"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1941"")","","","","","","","","","","","","","",""
"1","The Midnight Special (And Other Southern Prison Songs)","Lead Belly","us","1941","No","No","1","2","4293","332","74.892150879","24","123660","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123660&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Southern Exposure","Josh White","us","1941","No","No","2","12","7126","178","75.62966156","8","124078","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=124078&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","The Lonesome Road","Sister Rosetta Tharpe","us","1941","Yes","No","3","16","8303","147","73.873046875","11","131379","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=131379&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","8 To The Bar (Two Piano Boogie Woogie For Dancing)","Pete Johnson & Albert Ammons","us","1941","No","No","4","22","9035","133","72.08644104","17","93178","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=93178&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","The Quintet Of The Hot Club Of France","The Quintet Of The Hot Club Of France","fr","1941","No","No","5","42","12078","95","75.078453064","7","124436","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=124436&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Swinging The Classics - Piano Solos In Swing Style With Drums","Hazel Scott","us","1941","No","No","6","44","12413","92","72.701797485","9","123702","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123702&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","One O'Clock Jump","Count Basie And His Orchestra","us","1941","No","No","7","57","13928","81","72.018554688","8","124878","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=124878&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Songs For John Doe","Almanac Singers","us","1941","No","No","8","94","20390","49","72.296325684","8","39463","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=39463&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Crosbyana","Bing Crosby","us","1941","No","No","9","116","24779","37","70.809562683","4","202493","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=202493&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
