"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1951"")","","","","","","","","","","","","","",""
"1","Genius Of Modern Music: Volume 1","Thelonious Monk","us","1951","Yes","No","1","82","2859","541","76.881637573","98","11562","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=11562&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Masterpieces By Ellington","Duke Ellington And His Orchestra","us","1951","No","No","2","99","3456","432","76.293785095","50","35762","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=35762&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Hank Williams Sings","Hank Williams With His Drifting Cowboys","us","1951","Yes","No","3","102","3555","414","75.497329712","54","14213","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=14213&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Ritual Of The Savage","Les Baxter","us","1951","No","No","4","249","8690","139","72.408325195","31","25121","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=25121&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Afro-Cuban Jazz Suite","Machito","cu","1951","No","No","5","252","8797","137","71.038116455","25","47706","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=47706&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","On Moonlight Bay","Doris Day","us","1951","No","No","6","263","9103","131","70.822937012","22","49153","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49153&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Satchmo At Symphony Hall","Louis Armstrong","us","1951","No","Yes","7","287","10086","117","73.619094849","18","64078","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=64078&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Les Paul's New Sound, Vol. 2","Les Paul & Mary Ford","us","1951","No","No","8","325","11813","97","72.462417603","21","47037","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=47037&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","The New Sounds","Miles Davis","us","1951","No","No","9","332","12020","95","70.354194641","22","86510","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=86510&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Lover Man","Billie Holiday","us","1951","Yes","No","10","355","13004","87","73.753128052","17","49330","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49330&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Sonatas And Interludes For Prepared Piano By John Cage","Maro Ajemian","us","1951","No","No","11","371","13378","85","68.466682434","25","21093","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=21093&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Judy At The Palace","Judy Garland","us","1951","Yes","No","12","390","14334","78","67.682556152","11","49149","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49149&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Harmony Time Vol.2","The Chordettes","us","1951","No","No","13","449","16536","66","68.924247742","12","49166","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49166&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Talking And Drum Solos","Baby Dodds","us","1951","No","No","14","453","16725","65","69.816696167","10","84902","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=84902&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","I'll See You In My Dreams","Doris Day","us","1951","No","No","15","459","16948","64","67.64200592","17","49162","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49162&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Lullaby Of Broadway","Doris Day","us","1951","No","No","16","467","17293","62","67.369041443","18","49160","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49160&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","1ère Série: Félix Leclerc Chante Ses Derniers Succès","Félix Leclerc","ca","1951","No","No","17","480","17530","61","70.301605225","11","79620","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=79620&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Encores","Édith Piaf","fr","1951","No","No","18","484","17623","61","71.097244263","14","95571","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95571&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","The Great Caruso","Mario Lanza","us","1951","No","No","19","503","18675","56","69.585899353","23","18113","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=18113&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Blessed Assurance","Sister Rosetta Tharpe","us","1951","No","No","20","507","18778","56","68.753631592","13","92708","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=92708&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Porgy And Bess","George Gershwin","us","1951","No","No","21","521","19228","54","71.49206543","11","85041","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=85041&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","A Streetcar Named Desire","Alex North","us","1951","No","No","22","554","20319","50","72.231925964","13","9725","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=9725&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Alternate Masters Vol. 1","Charlie Parker","us","1951","No","No","23","600","22416","43","68.685218811","8","130638","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=130638&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","An American In Paris","Various Artists","un","1951","No","No","24","609","22638","42","68.382766724","17","32654","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=32654&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","The King And I","The Original Broadway Cast","un","1951","No","No","25","631","23320","40","68.228088379","9","32384","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=32384&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"26","A Group Of Bahamian Songs","Blind Blake (BS)","bs","1951","No","No","26","676","24631","37","72.422264099","5","160661","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=160661&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"27","Folk Song Favorites","Patti Page","us","1951","No","No","27","677","24709","37","66.649154663","9","49502","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=49502&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"28","New Sounds In Modern Music Volume 2","Charlie Parker","us","1951","No","No","28","759","26982","32","69.796325684","8","140467","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140467&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"29","Paint Your Wagon","The Original Broadway Cast","un","1951","No","No","29","774","27762","30","71.740776062","8","133948","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=133948&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"30","The Bessie Smith Story - Volume 2","Bessie Smith","us","1951","Yes","No","30","783","28093","30","70.074104309","8","133564","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=133564&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"31","Chopin: Nocturnes","Artur Rubinstein","pl","1951","No","No","31","795","28451","29","75.301628113","11","95599","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95599&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"32","Sonny Stitt & Bud Powell","Sonny Stitt & Bud Powell","us","1951","No","No","32","807","28678","29","71.196998596","12","95577","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95577&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"33","Galloping Guitars","Les Paul And His Trio","us","1951","No","No","33","810","28780","28","71.462997437","8","140468","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140468&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"34","Songs Of Jimmie Rodgers","Lefty Frizzell","us","1951","No","No","34","868","30708","25","67.438644409","9","74446","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=74446&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
