"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1972"")","","","","","","","","","","","","","",""
"1","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","David Bowie","uk","1972","No","No","1","3","9","53965","89.961296082","3380","74","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=74&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Exile On Main St.","The Rolling Stones","uk","1972","No","No","2","12","43","24658","85.455223083","2260","241","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=241&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Pink Moon","Nick Drake","uk","1972","No","No","3","15","50","21340","86.66734314","1761","185","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=185&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Close To The Edge","Yes","uk","1972","No","No","4","24","90","15270","85.290077209","1394","1080","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1080&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Harvest","Neil Young","ca","1972","No","No","5","27","103","13940","84.4503479","1632","179","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=179&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Transformer","Lou Reed","us","1972","No","No","6","35","134","11881","83.362380981","1490","150","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=150&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Machine Head","Deep Purple","uk","1972","No","No","7","57","236","7563","82.646713257","966","1102","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1102&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Thick As A Brick","Jethro Tull","uk","1972","No","No","8","69","281","6628","82.864822388","803","2276","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2276&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Foxtrot","Genesis","uk","1972","No","No","9","72","286","6521","82.664360046","800","2006","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2006&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Ege Bamyası","Can","de","1972","No","No","10","82","321","5761","82.924377441","685","1358","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1358&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","#1 Record","Big Star","us","1972","No","No","11","99","401","4666","81.770294189","622","2468","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2468&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Clube Da Esquina","Milton Nascimento / Lô Borges","br","1972","No","No","12","112","482","3796","82.364387512","300","3785","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3785&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Can't Buy A Thrill","Steely Dan","us","1972","No","No","13","118","516","3616","81.662887573","575","266","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=266&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Superfly","Curtis Mayfield","us","1972","No","No","14","122","524","3554","80.651039124","542","72","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=72&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Acabou Chorare","Novos Baianos","br","1972","No","No","15","128","553","3345","83.882217407","238","19591","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=19591&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Talking Book","Stevie Wonder","us","1972","No","No","16","143","592","3107","80.82333374","633","271","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=271&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Vol 4","Black Sabbath","uk","1972","No","No","17","172","765","2400","81.491195679","614","4951","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4951&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Argus","Wishbone Ash","uk","1972","No","No","18","177","802","2286","80.559806824","264","1736","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1736&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Eat A Peach","The Allman Brothers Band","us","1972","No","No","19","180","808","2262","80.326560974","365","1649","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1649&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Roxy Music","Roxy Music","uk","1972","No","No","20","187","871","2098","79.105384827","450","2242","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2242&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Neu!","Neu!","de","1972","No","No","21","191","893","2058","79.766113281","444","3162","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3162&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","On The Corner","Miles Davis","us","1972","No","No","22","193","895","2052","80.933395386","325","1454","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1454&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Made In Japan","Deep Purple","uk","1972","No","Yes","23","196","903","2032","81.007484436","413","3105","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3105&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","Hosianna Mantra","Popol Vuh (DE)","de","1972","No","No","24","214","990","1861","80.441078186","248","1630","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1630&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","Paul Simon","Paul Simon","us","1972","No","No","25","236","1089","1666","78.306976318","331","7356","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7356&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"26","The Slider","T. Rex","uk","1972","No","No","26","247","1168","1550","79.767410278","379","5246","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5246&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"27","Something/Anything?","Todd Rundgren","us","1972","No","No","27","253","1194","1509","79.701080322","307","291","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=291&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"28","Transa","Caetano Veloso","br","1972","No","No","28","289","1434","1226","81.161193848","148","17665","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=17665&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"29","The Harder They Come","Various Artists","un","1972","Yes","No","29","290","1438","1222","79.589263916","184","9732","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=9732&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
