"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1946"")","","","","","","","","","","","","","",""
"1","The Voice Of Frank Sinatra","Frank Sinatra","us","1946","No","No","1","9","6256","207","68.038108826","25","22179","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=22179&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Louis Jordan And His Tympany Five","Louis Jordan And His Tympany Five","us","1946","No","No","2","15","7839","158","73.816696167","10","123505","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123505&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Calypso","Lord Invader And Lord Beginner With Felix And His Internationals","tt","1946","No","No","3","21","8872","136","69.196105957","7","172026","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=172026&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Schubert: Symphony No. 9 In C Major (The Great)","Bruno Walter / New York Philharmonic","us","1946","No","No","4","32","11027","105","71.549057007","7","158471","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=158471&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Drummin' With Krupa","Gene Krupa And His Orchestra","us","1946","No","No","5","33","11078","105","70.907440186","8","123532","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123532&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Ink Spots","The Ink Spots","us","1946","No","No","6","35","11378","102","70.927574158","13","141113","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=141113&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Spirituals","Paul Robeson","us","1946","No","No","7","37","11509","100","72.333343506","12","123694","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123694&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Tenor Sax","Ike Quebec","us","1946","No","No","8","50","12682","90","72.583374023","6","148676","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=148676&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Negroe Folk Songs","Lead Belly","us","1946","No","No","9","56","13653","83","71.958358765","6","123663","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123663&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
