"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1966"")","","","","","","","","","","","","","",""
"1","Revolver","The Beatles","uk","1966","No","No","1","2","4","61704","91.28868103","4406","28","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=28&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Pet Sounds","The Beach Boys","us","1966","No","No","2","5","11","48787","87.982208252","3140","18","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=18&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Blonde On Blonde","Bob Dylan","us","1966","No","No","3","11","31","29497","87.84085083","2306","44","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=44&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Sounds Of Silence","Simon & Garfunkel","us","1966","No","No","4","52","413","4482","79.606452942","697","2585","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2585&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Aftermath","The Rolling Stones","uk","1966","No","No","5","55","417","4432","78.581306458","902","1242","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1242&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Freak Out!","The Mothers Of Invention","us","1966","No","No","6","61","479","3821","80.541870117","700","3031","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3031&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Parsley, Sage, Rosemary And Thyme","Simon & Garfunkel","us","1966","No","No","7","66","515","3628","80.018226624","604","2117","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2117&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","The Psychedelic Sounds Of The 13th Floor Elevators","13th Floor Elevators","us","1966","No","No","8","88","817","2243","78.555160522","460","2986","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2986&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Face To Face","The Kinks","uk","1966","No","No","9","90","856","2132","80.227127075","467","2852","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2852&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Wild Is The Wind","Nina Simone","us","1966","No","No","10","98","921","1972","80.938041687","219","7333","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7333&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Ascension","John Coltrane","us","1966","No","No","11","113","1055","1728","77.296394348","310","1025","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1025&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Fresh Cream","Cream","uk","1966","No","No","12","115","1094","1653","78.274993896","377","3791","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3791&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Black Monk Time","Monks (US)","us","1966","No","No","13","119","1128","1607","77.643043518","319","2128","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2128&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","If You Can Believe Your Eyes And Ears","The Mamas And The Papas","us","1966","No","No","14","120","1132","1595","76.928733826","315","2727","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2727&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Fifth Dimension","The Byrds","us","1966","No","No","15","128","1231","1468","77.984199524","304","5161","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5161&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Speak No Evil","Wayne Shorter","us","1966","No","No","16","147","1416","1240","80.620452881","172","1498","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1498&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Blues Breakers","John Mayall & Eric Clapton","uk","1966","No","No","17","152","1461","1200","79.744628906","265","6989","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6989&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Da Capo","Love","us","1966","No","No","18","155","1495","1170","77.915969849","290","3603","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3603&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Sunshine Superman","Donovan","uk","1966","No","No","19","157","1545","1127","77.146812439","258","7321","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7321&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Il Buono, Il Brutto, Il Cattivo [The Good, The Bad & The Ugly]","Ennio Morricone","it","1966","No","No","20","159","1588","1092","82.00025177","221","3058","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3058&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","A Quick One","The Who","uk","1966","No","No","21","163","1643","1054","75.213020325","400","1465","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1465&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Buffalo Springfield","Buffalo Springfield","un","1966","No","No","22","166","1685","1022","76.926017761","222","1318","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1318&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
