"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1998"")","","","","","","","","","","","","","",""
"1","In The Aeroplane Over The Sea","Neutral Milk Hotel","us","1998","No","No","1","3","16","43666","87.147628784","2830","970","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=970&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Mezzanine","Massive Attack","uk","1998","No","No","2","31","152","10752","83.18548584","1207","1247","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1247&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Moon Safari","Air (FR)","fr","1998","No","No","3","48","243","7415","81.010643005","963","3","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Aquemini","OutKast","us","1998","No","No","4","53","267","6904","82.725021362","718","3507","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3507&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Music Has The Right To Children","Boards Of Canada","uk","1998","No","No","5","60","320","5791","81.903358459","705","1060","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1060&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","The Miseducation Of Lauryn Hill","Lauryn Hill","us","1998","No","No","6","63","326","5711","77.795822144","752","141","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=141&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","XO","Elliott Smith","us","1998","No","No","7","82","450","4124","81.450912476","628","1363","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1363&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Deserter's Songs","Mercury Rev","us","1998","No","No","8","107","651","2826","80.023223877","478","164","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=164&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Ray Of Light","Madonna","us","1998","No","No","9","118","685","2676","74.050704956","596","1402","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1402&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Electro-Shock Blues","Eels","us","1998","No","No","10","125","715","2567","78.683807373","453","2065","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2065&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Car Wheels On A Gravel Road","Lucinda Williams","us","1998","No","No","11","134","757","2422","79.226242065","337","1057","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1057&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Adore","The Smashing Pumpkins","us","1998","No","No","12","152","818","2243","76.713165283","526","2131","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2131&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Without You I'm Nothing","Placebo (UK)","uk","1998","No","No","13","153","822","2230","76.687759399","367","4539","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4539&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","The Shape Of Punk To Come (A Chimerical Bombination In 12 Bursts)","Refused","se","1998","No","No","14","169","870","2102","77.233222961","300","2540","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2540&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","The Boy With The Arab Strap","Belle And Sebastian","uk","1998","No","No","15","184","945","1941","79.007659912","406","2298","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2298&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","TNT","Tortoise","us","1998","No","No","16","187","968","1896","79.51612854","284","6355","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=6355&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","This Is Hardcore","Pulp","uk","1998","No","No","17","190","989","1862","78.144599915","406","222","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=222&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Mos Def & Talib Kweli Are Black Star","Black Star","us","1998","No","No","18","207","1086","1677","78.7447052","254","2832","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2832&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","Yield","Pearl Jam","us","1998","No","No","19","219","1157","1571","75.078536987","461","1774","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1774&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","System Of A Down","System Of A Down","us","1998","No","No","20","227","1212","1495","75.362670898","400","1294","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1294&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Queens Of The Stone Age","Queens Of The Stone Age","us","1998","No","No","21","233","1269","1405","76.593803406","391","5882","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=5882&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Mechanical Animals","Marilyn Manson","us","1998","No","No","22","237","1275","1394","68.680641174","262","1295","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1295&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Ocean Songs","Dirty Three","au","1998","No","No","23","242","1307","1355","75.716552734","183","2119","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2119&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","Version 2.0","Garbage","us","1998","No","No","24","243","1312","1352","75.565742493","272","1476","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1476&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"25","White Ladder","David Gray","uk","1998","No","No","25","253","1355","1309","72.92250061","263","1406","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1406&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"26","American Water","Silver Jews","us","1998","No","No","26","283","1499","1170","78.833213806","171","3533","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3533&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"27","Mutations","Beck","us","1998","No","No","27","284","1501","1169","77.359436035","396","3551","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3551&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"28","This Is My Truth Tell Me Yours","Manic Street Preachers","uk","1998","No","No","28","287","1515","1159","72.876365662","277","2250","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2250&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"29","Stratosphere","Duster","us","1998","No","No","29","288","1523","1155","78.678085327","151","40389","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=40389&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"30","The Masterplan","Oasis","uk","1998","Yes","No","30","292","1546","1131","75.186920166","434","1614","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1614&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"31","Moon Pix","Cat Power","us","1998","No","No","31","294","1548","1128","78.922996521","173","3647","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3647&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"32","Mark Hollis","Mark Hollis","uk","1998","No","No","32","305","1658","1042","75.695449829","159","12997","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=12997&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"33","Clandestino","Manu Chao","fr","1998","No","No","33","308","1670","1034","76.372367859","177","4530","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4530&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
