"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1982"")","","","","","","","","","","","","","",""
"1","Thriller","Michael Jackson","us","1982","No","No","1","10","79","17789","82.189025879","2056","166","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=166&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","The Number Of The Beast","Iron Maiden","uk","1982","No","No","2","34","267","6909","80.530326843","962","1382","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1382&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","The Dreaming","Kate Bush","uk","1982","No","No","3","35","276","6695","81.318847656","729","1395","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1395&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","Pornography","The Cure","uk","1982","No","No","4","39","307","6123","80.254005432","916","1119","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1119&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Nebraska","Bruce Springsteen","us","1982","No","No","5","41","325","5733","79.587203979","941","1068","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1068&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","Avalon","Roxy Music","uk","1982","No","No","6","74","505","3664","78.701210022","593","2297","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2297&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","1999","Prince","us","1982","No","No","7","75","508","3655","79.027793884","694","214","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=214&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Rio","Duran Duran","uk","1982","No","No","8","94","611","3005","75.754043579","532","87","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=87&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","The Nightfly","Donald Fagen","us","1982","No","No","9","96","629","2915","77.057060242","352","85","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=85&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Love Over Gold","Dire Straits","uk","1982","No","No","10","100","645","2856","78.464561462","505","1196","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1196&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","Combat Rock","The Clash","uk","1982","No","No","11","123","828","2222","75.8826828","680","3885","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3885&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","New Gold Dream (81-82-83-84)","Simple Minds","uk","1982","No","No","12","132","865","2116","76.844070435","303","1935","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1935&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Imperial Bedroom","Elvis Costello And The Attractions","uk","1982","No","No","13","133","868","2103","77.724220276","369","350","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=350&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","English Settlement","XTC","uk","1982","No","No","14","156","1017","1812","78.939605713","326","4126","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4126&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Peter Gabriel IV","Peter Gabriel","uk","1982","No","No","15","157","1028","1783","78.629020691","336","2374","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2374&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"16","Big Science","Laurie Anderson","us","1982","No","No","16","158","1031","1772","77.889480591","226","1795","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1795&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"17","Bad Brains","Bad Brains","us","1982","No","No","17","175","1122","1614","76.658973694","281","2189","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2189&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"18","Screaming For Vengeance","Judas Priest","uk","1982","No","No","18","179","1138","1589","78.072631836","357","3352","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3352&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"19","The Lexicon Of Love","ABC","uk","1982","No","No","19","199","1242","1449","76.6980896","244","324","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=324&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"20","Hex Enduction Hour","The Fall","uk","1982","No","No","20","205","1276","1391","77.743347168","236","4282","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4282&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"21","Glassworks","Philip Glass","us","1982","No","No","21","228","1461","1204","81.319618225","152","17543","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=17543&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"22","Too-Rye-Ay","Kevin Rowland & Dexys Midnight Runners","uk","1982","No","No","22","233","1506","1164","73.442932129","203","1257","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1257&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"23","Shoot Out The Lights","Richard & Linda Thompson","uk","1982","No","No","23","242","1566","1111","78.032028198","218","2517","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2517&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"24","Milo Goes To College","The Descendents","us","1982","No","No","24","246","1586","1094","76.0911026","217","7959","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=7959&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
