"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1999"")","","","","","","","","","","","","","",""
"1","Ágætis Byrjun","Sigur Rós","is","1999","No","No","1","13","68","19046","86.020385742","1647","1268","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1268&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","The Soft Bulletin","The Flaming Lips","us","1999","No","No","2","21","113","13274","83.12411499","1460","1007","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1007&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Californication","Red Hot Chili Peppers","us","1999","No","No","3","44","226","7885","79.180793762","1582","1016","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1016&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","98.12.28 男達の別れ [98.12.28 Otokotachi No Wakare]","フィッシュマンズ [Fishmans]","jp","1999","No","Yes","4","56","299","6227","87.726547241","324","83944","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=83944&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Emergency & I","The Dismemberment Plan","us","1999","No","No","5","72","393","4725","81.449653625","495","1632","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1632&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","13","Blur","uk","1999","No","No","6","74","410","4583","79.472419739","799","3893","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3893&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","69 Love Songs","The Magnetic Fields","us","1999","No","No","7","76","434","4276","80.275924683","589","155","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=155&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Summerteeth","Wilco","us","1999","No","No","8","77","436","4267","82.378730774","653","4266","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4266&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","American Football","American Football","us","1999","No","No","9","80","443","4166","80.246437073","451","13705","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=13705&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Keep It Like A Secret","Built To Spill","us","1999","No","No","10","81","448","4151","82.168701172","487","4710","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=4710&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","When The Pawn...","Fiona Apple","us","1999","No","No","11","86","461","4044","81.859230042","480","1473","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1473&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Play","Moby","us","1999","No","No","12","92","496","3713","76.81035614","792","170","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=170&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","The Fragile","Nine Inch Nails","un","1999","No","No","13","122","697","2643","78.97403717","493","2478","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2478&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Metropolis Pt. 2: Scenes From A Memory","Dream Theater","us","1999","No","No","14","127","717","2557","78.494430542","420","2349","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2349&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"15","Slow Riot For New Zerø Kanada","Godspeed You! Black Emperor","ca","1999","No","No","15","137","768","2395","83.987930298","403","2523","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2523&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
