Position,Artist,Album,Year
21,Voivod,Target Earth,2013
22,Cloud Rat,Moksha,2013
23,Atlantean Kodex,The White Goddess,2013
24,Årabrot,Årabrot,2013
25,Satan,Life Sentence,2013
26,Wardruna,Yggdrasil,2013
27,Tribulation,The Formulas of Death,2013
28,Grave Miasma,Odori Sepulcrorum,2013
29,Uncle Acid and the Deadbeats,Mind Control,2013
30,Subrosa,More Constant Than the Gods,2013
31,Fleshgod Apocalypse,Labyrinth,2013
32,Windhand,Soma,2013
33,Light Bearer,Silver Tonuge,2013
34,Gorguts,Colored Sands,2013
35,Unkind,Pelon Juuret,2013
36,Shining,One One One,2013
37,Kvelertak,Meir,2013
38,The Ruins of Beverast,Blood Vaults,2013
39,Cultes des Ghoules,Henbane,2013
40,Ævangelist,Omen Ex Simulacra,2013
41,Retox,YPLL,2013
42,Satan's Wrath,Aeons of Satan's Reign,2013
43,Death Angel,The Dream Calls for Blood,2013
44,Hail of Bullets,III: The Rommel Chronicles,2013
45,Trouble,The Distortion Field,2013
46,CROWN,Psychurgy,2013
47,All Pigs Must Die,Nothing Violates This Nature,2013
48,Inquisition,Obscure Verses for the Multiverse,2013
49,Vista Chino,Peace,2013
50,Agrimonia,Rites of Separation,2013
1,Godflesh,A World Lit Only By Fire,2014
2,Swans,To Be Kind,2014
3,Behemoth,The Satanist,2014
4,Yob,Clearing The Path To Ascend,2014
5,Triptykon,Melana Chasmata,2014
6,Eyehategod,Eyehategod,2014
7,Primordial,Where Greater Men Have Fallen,2014
8,Sólstafir,Ótta,2014
9,Pallbearer,Foundations Of Burden,2014
10,Electric Wizard,Time To Die,2014
11,Midnight,No Mercy For Mayhem,2014
12,Morbus Chron,Sweven,2014
13,Winterfylleth,The Divination Of Antiquity,2014
14,Judas Priest,Redeemer Of Souls,2014
15,Voices,London,2014
16,Swallowed,Lunarterial,2014
17,Agalloch,The Serpent And The Sphere,2014
18,Thou,Heathen,2014
19,Panopticon,Roads To The North,2014
20,Dead Congregation,Promulgation Of The Fall,2014
21,Wovenhand,Refractory Obdurate,2014
22,Blut Aus Nord,Memorial Vetusta III: Saturnian Poetry,2014
23,Autopsy,"Tourniquets, Hacksaws And Graves",2014
24,Vallenfyre,Splinters,2014
25,Earth,Primitive And Deadly,2014
26,Today Is The Day,Animal Mother,2014
27,Pyrrhon,The Mother Of Virtues,2014
28,Sunn O))) & Ulver,Terrestrials,2014
29,Teitanblood,Death,2014
30,Trap Them,Blissfucker,2014
31,Schammasch,Contradiction,2014
32,Orange Goblin,Back From The Abyss,2014
33,Tombs,Savage Gold,2014
34,The Body,I Shall Die Here,2014
35,Mastodon,Once More ‘Round The Sun,2014
36,Mayhem,Esoteric Warfare,2014
37,Opeth,Pale Communion,2014
38,Insomnium,Shadows Of A Dying Sun,2014
39,ACxDC,Antichrist Demoncore,2014
40,Conan,Blood Eagle,2014
41,Decapitated,Blood Mantra,2014
42,Wolves In The Throne Room,Celestite,2014
43,Lord Mantis,Death Mask,2014
44,Prong,Ruining Lives,2014
45,11 Paranoias,Stealing Fire From Heaven,2014
46,Esben And The Witch,A New Nature,2014
47,Martyrdöd,Elddop,2014
48,Death Penalty,Death Penalty,2014
49,At The Gates,At War With Reality,2014
50,Nachtmystium,The World We Left Behind,2014
1,Napalm Death,"Apex Predator, Easy Meat",2015
2,Faith No More,Sol Invictus,2015
3,Killing Joke,Pylon,2015
4,Baroness,Purple,2015
5,Clutch,Psychic Warfare,2015
6,Mgla,Exercises In Futility,2015
7,Tribulation,The Children of the Night,2015
8,Tau Cross,Tau Cross,2015
9,My Dying Bride,Feel the Misery,2015
10,Goatsnake,Black Age Blues,2015
11,Amorphis,Under the Red Cloud,2015
12,Paradise Lost,The Plague Within,2015
13,VHOL,Deeper Than Sky,2015
14,Royal Thunder,Crooked Doors,2015
15,Sigh,Graveward,2015
16,Melechesh,Enki,2015
17,Myrkur,M,2015
18,Lucifer,Lucifer I,2015
19,Cloud Rat,Qliphoth,2015
20,Ghost,Meliora,2015
21,Chelsea Wolfe,Abyss,2015
22,Satan,Atom by Atom,2015
23,Dødheimsgard,A Umbra Omega,2015
24,Horrendous,Anareta,2015
25,Gruesome,Savage Land,2015
26,Revenge,"Behold, Total, Rejection",2015
27,Iron Maiden,The Book of Souls,2015
28,High on Fire,Luminiferous,2015
29,Abyssal,Antikatastaseis,2015
30,Corrections House,Know How to Carry a Whip,2015
31,KEN mode,Success,2015
32,Prurient,Frozen Niagara Falls,2015
33,A Forest of Stars,Beware the Sword You Cannot See,2015
34,Enforcer,From Beyond,2015
35,Pissgrave,Suicide Euphoria,2015
36,Uncle Acid,The Night Creeper,2015
37,Poison Idea,Confuse & Conquer,2015
38,Black Breath,Slaves Beyond Death,2015
39,Gnaw Their Tongues,Abyss of Longing Throats,2015
40,Arcturus,Arcturian,2015
41,Ares Kingdom,The Unburiable Dead,2015
42,Therapy?,Disquiet,2015
43,Mutoid Man,Bleeder,2015
44,Bell Witch,Four Phantoms,2015
45,Undersmile,Anhedonia,2015
46,Ufomammut,Ecate,2015
47,Solefald,"World Metal, Kosmopolis Sud",2015
48,Torche,Restarter,2015
49,With the Dead,With the Dead,2015
50,Cruciamentum,Charnel Passages,2015
1,Neurosis,Fires Within Fires,2016
2,Darkthrone,Arctic Thunder,2016
3,Oathbreaker,Rheia,2016
4,Trap Them,Crown Feral,2016
5,40 Watt Sun,Wider Than The Sky,2016
6,Subrosa,For This We Fought The Battle Of The Ages,2016
7,Cobalt,Slow Forever,2016
8,Cult Of Luna And Julie Christmas,Mariner,2016
9,Oranssi Pazuzu,Värähtelijä,2016
10,Nails,You Will Never Be One Of Us,2016
11,Deathspell Omega,The Synarchy Of Molten Bones,2016
12,The Dillinger Escape Plan,Dissociation,2016
13,Discharge,End Of Days,2016
14,Blood Incantation,Starspawn,2016
15,Vektor,Terminal Redux,2016
16,Opeth,Sorceress,2016
17,Anaal Nathrakh,The Whole Of The Law,2016
18,Graves At Sea,The Curse That Is,2016
19,Urfaust,Empty Space Meditation,2016
20,Wormrot,Voices,2016
21,Gojira,Magma,2016
22,Boss Keloid,Herb Your Enthusiasm,2016
23,The Body,No One Deserves Happiness,2016
24,Purson,Desire- S Magic Theatre,2016
25,Alcest,Kodama,2016
26,Deströyer 666,Wildfire,2016
27,Inquisition,Bloodshed Across The Empyrean Altar Beyond The Celestial Zenith,2016
28,Ihsahn,Arktis,2016
29,Swans,The Glowing Man,2016
30,Gadget,The Great Destroyer,2016
31,Bossk,Audio Noir,2016
32,Darkher,Realms,2016
33,Inter Arma,Paradise Gallows,2016
34,Interment,Scent Of The Buried,2016
35,Rotting Christ,Rituals,2016
36,Graf Orlock,Crime Traveller,2016
37,Bölzer,Hero,2016
38,Dälek,Asphalt For Eden,2016
39,Conan,Revengeance,2016
40,Devin Townsend Project,Transcendence,2016
41,Katatonia,The Fall Of Hearts,2016
42,Wretch,Wretch,2016
43,Wardruna,Rudaljod - Ragnarok,2016
44,Kvelertak,Nattesferd,2016
45,Horseback,Dead Ringers,2016
46,Slabdragger,Rise Of The Dawncrusher,2016
47,The Wounded Kings,Visions In Bone,2016
48,Sabaton,The Last Stand,2016
49,Krypts,Remnants Of Expansion,2016
50,Testament,Brotherhood Of The Snake,2016
